2025-07-19 23:58:53.521963 - 🌐 NAT VNF started on port 9102
2025-07-20 00:00:53.698668 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-20 00:00:53.733665 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:53.735404 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 13.89.179.14
2025-07-20 00:00:53.770525 - [NAT] Rewrote source 13.89.179.14 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:53.773095 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 13.89.179.14
2025-07-20 00:00:53.774890 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 13.89.179.14
2025-07-20 00:00:53.781905 - [NAT] Rewrote source 13.89.179.14 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:53.851534 - [NAT] Rewrote source 13.89.179.14 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:53.852925 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 13.89.179.14
2025-07-20 00:00:53.856825 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 13.89.179.14
2025-07-20 00:00:53.859527 - [NAT] Rewrote source 13.89.179.14 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:53.895659 - [NAT] Rewrote source 13.89.179.14 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:53.898966 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 13.89.179.14
2025-07-20 00:00:53.900233 - [NAT] Rewrote source 13.89.179.14 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:53.902453 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 13.89.179.14
2025-07-20 00:00:53.909024 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 13.89.179.14
2025-07-20 00:00:53.912692 - [NAT] Rewrote source 13.89.179.14 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:53.914262 - [NAT] Rewrote source 13.89.179.14 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:53.915840 - [NAT] Rewrote source 13.89.179.14 → 192.168.0.1 to 10.0.2.15
